"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"917","DSC_9482",1134,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"918","DSC_9482",1137,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"919","DSC_9482",1140,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"920","DSC_9482",1143,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"921","DSC_9482",1146,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"922","DSC_9482",1149,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"923","DSC_9482",1152,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"924","DSC_9482",1155,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",43.315,42.274,43.771,"",NA,""
"925","DSC_9482",1158,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"926","DSC_9482",1161,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"927","DSC_9482",1164,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"928","DSC_9482",1167,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"929","DSC_9482",1170,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"930","DSC_9482",1173,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"931","DSC_9482",1176,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"932","DSC_9482",1179,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant too blurry",NA,""
"933","DSC_9482",1182,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"934","DSC_9482",1185,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",42.85,42.859,41.796,"",NA,""
"935","DSC_9482",1188,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"936","DSC_9482",1191,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"937","DSC_9482",1194,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"938","DSC_9482",1197,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"939","DSC_9482",1200,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"940","DSC_9482",1203,"11/6/2025","C1F25","11/7/2025","Control","2025","Chinmay",512.01,791.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","Yes",""
"941","DSC_9487",10136,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"942","DSC_9487",10139,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",45.997,46.291,45.543,"","Yes",""
"943","DSC_9487",10142,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"944","DSC_9487",10145,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"945","DSC_9487",10148,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"946","DSC_9487",10151,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"947","DSC_9487",10154,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"948","DSC_9487",10157,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"949","DSC_9487",10160,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",43.668,42.699,42.197,"","Yes",""
"950","DSC_9487",10163,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"951","DSC_9487",10166,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"952","DSC_9487",10169,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"953","DSC_9487",10172,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",44.671,46.1,46.432,"",NA,""
"954","DSC_9487",10175,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",48.814,47.923,47.366,"",NA,""
"955","DSC_9487",10178,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"956","DSC_9487",10181,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",48.08,48.667,49.419,"",NA,""
"957","DSC_9487",10184,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"958","DSC_9487",10187,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"959","DSC_9487",10190,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",38.916,38.787,39.92,"","Yes",""
"960","DSC_9487",10193,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"961","DSC_9487",10196,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",43.464,44.014,43.351,"","Yes",""
"962","DSC_9487",10199,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",45.357,45.858,45.196,"","Yes",""
"963","DSC_9487",10202,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",44.838,44.045,45.621,"","Yes",""
"964","DSC_9487",10205,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",48.145,47.344,47.575,"","Yes",""
"965","DSC_9487",10208,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"966","DSC_9487",10211,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"967","DSC_9487",10214,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"968","DSC_9487",10217,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"969","DSC_9487",10220,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"970","DSC_9487",10223,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"971","DSC_9487",10226,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",43.915,43.796,44.092,"","Yes",""
"972","DSC_9487",10229,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"973","DSC_9487",10232,"11/7/2025","C1F25","11/7/2025","Control","2025","Chinmay",502,775.82,"Right","Correct","Yes",42.941,42.064,42.869,"","Yes",""
"974","DSC_9492",5575,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways",NA,""
"975","DSC_9492",5578,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"976","DSC_9492",5581,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"977","DSC_9492",5584,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"978","DSC_9492",5587,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"979","DSC_9492",5590,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"980","DSC_9492",5593,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"981","DSC_9492",5596,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",41.055,41.264,42.759,"","Yes",""
"982","DSC_9492",5599,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",42.681,41.805,41.688,"",NA,""
"983","DSC_9492",5602,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways",NA,""
"984","DSC_9492",5605,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"985","DSC_9492",5608,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways",NA,""
"986","DSC_9492",5611,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",41.186,40.388,41.97,"","No",""
"987","DSC_9492",5614,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"988","DSC_9492",5617,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",39.644,40.696,41.786,"","Yes",""
"989","DSC_9492",5620,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",40.653,41.63,40.395,"","Yes",""
"990","DSC_9492",5623,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",46.991,45.276,45.217,"","Yes",""
"991","DSC_9492",5626,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"992","DSC_9492",5629,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"993","DSC_9492",5632,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",47.519,47.167,47.094,"",NA,""
"994","DSC_9492",5635,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"995","DSC_9492",5638,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",46.642,46.836,47.429,"",NA,""
"996","DSC_9492",5641,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",44.591,45.773,44.091,"","Yes",""
"997","DSC_9492",5644,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",45.699,44.37,44.795,"","Yes",""
"998","DSC_9492",5647,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"999","DSC_9492",5650,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1000","DSC_9492",5653,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",43.173,43.162,43.023,"","Yes",""
"1001","DSC_9492",5656,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",48.889,48.302,48.13,"",NA,""
"1002","DSC_9492",5659,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1003","DSC_9492",5662,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1004","DSC_9492",5665,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1005","DSC_9492",5668,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1006","DSC_9492",5671,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1007","DSC_9492",5674,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1008","DSC_9492",5677,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1009","DSC_9492",5680,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",NA,NA,NA,"Ant too blurry",NA,""
"1010","DSC_9492",5683,"11/8/2025","C1F25","11/8/2025","Control","2025","Chinmay",506.04,782.07,"Right","Correct","Yes",47.373,47.564,46.436,"","Yes",""
"1011","DSC_9495",21155,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways",NA,""
"1012","DSC_9495",21158,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"1013","DSC_9495",21161,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","Yes",""
"1014","DSC_9495",21164,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",52.183,51.502,51.03,"","No",""
"1015","DSC_9495",21167,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",52.762,51.37,51.621,"","No",""
"1016","DSC_9495",21170,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",46.028,46.608,47.363,"",NA,""
"1017","DSC_9495",21173,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.066,48.715,49.378,"",NA,""
"1018","DSC_9495",21176,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways",NA,""
"1019","DSC_9495",21179,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",49.378,48.882,48.447,"",NA,""
"1020","DSC_9495",21182,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",52.206,52.23,51.789,"","No",""
"1021","DSC_9495",21185,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.788,48.269,48.649,"","Yes",""
"1022","DSC_9495",21188,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",45.63,44.386,45.437,"","Yes",""
"1023","DSC_9495",21191,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.505,48.145,49.33,"","No",""
"1024","DSC_9495",21194,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",49.65,49.015,48.642,"",NA,""
"1025","DSC_9495",21197,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.991,48.145,48.558,"",NA,""
"1026","DSC_9495",21200,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",50.424,51.372,51.577,"","No",""
"1027","DSC_9495",21203,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",50.711,50.572,50.963,"",NA,""
"1028","DSC_9495",21206,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",45.659,46.975,46.634,"","Yes",""
"1029","DSC_9495",21209,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.532,49.087,48.819,"",NA,""
"1030","DSC_9495",21212,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",49.745,48.812,49.189,"","No",""
"1031","DSC_9495",21215,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.343,46.302,47.391,"","Yes",""
"1032","DSC_9495",21218,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",45.438,45.42,45.941,"","Yes",""
"1033","DSC_9495",21221,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",46.042,45.425,46.931,"","Yes",""
"1034","DSC_9495",21224,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",45.201,44.798,45.469,"","Yes",""
"1035","DSC_9495",21227,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",46.888,46.193,46.245,"","Yes",""
"1036","DSC_9495",21230,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",51.279,50.646,51.408,"",NA,""
"1037","DSC_9495",21233,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",50.226,49.086,50.44,"","No",""
"1038","DSC_9495",21236,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",49.116,49.6,49.745,"",NA,""
"1039","DSC_9495",21239,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.289,47.338,48.142,"",NA,""
"1040","DSC_9495",21242,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.218,47.708,47.386,"","No",""
"1041","DSC_9495",21245,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.731,47.769,48.814,"","Yes",""
"1042","DSC_9495",21248,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.573,47.338,47.565,"","Yes",""
"1043","DSC_9495",21251,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.034,48.145,48.751,"",NA,""
"1044","DSC_9495",21254,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",52.943,52.64,51.953,"",NA,""
"1045","DSC_9495",21257,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.793,48.272,48.621,"",NA,""
"1046","DSC_9495",21260,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.82,46.15,47.663,"",NA,""
"1047","DSC_9495",21263,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",42.455,42.563,43.326,"",NA,""
"1048","DSC_9495",21266,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",46.42,46.309,46.193,"",NA,""
"1049","DSC_9495",21269,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",43.651,44.771,44.175,"","Yes",""
"1050","DSC_9495",21272,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",43.414,43.955,43.959,"","Yes",""
"1051","DSC_9495",21275,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",46.796,45.947,45.983,"","Yes",""
"1052","DSC_9495",21278,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",45.928,46.508,46.609,"","Yes",""
"1053","DSC_9495",21281,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.067,47.11,48.814,"","Yes",""
"1054","DSC_9495",21284,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",47.712,47.271,46.418,"","Yes",""
"1055","DSC_9495",21287,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",48.436,49.97,48.215,"",NA,""
"1056","DSC_9495",21290,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",53.842,53.82,53.31,"",NA,""
"1057","DSC_9495",21293,"11/8/2025","C2F25","11/9/2025","Control","2025","Chinmay",508.1,785.25,"Right","Correct","Yes",49.374,49.972,49.971,"",NA,""
"1058","DSC_9497",16697,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",43.831,42.099,42.313,"","Yes",""
"1059","DSC_9497",16700,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",40.558,40.371,40.887,"","Yes",""
"1060","DSC_9497",16703,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",46.329,45.603,45.962,"","Yes",""
"1061","DSC_9497",16706,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",46.482,45.579,45.215,"",NA,""
"1062","DSC_9497",16709,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",43.229,43.594,43.831,"","Yes",""
"1063","DSC_9497",16712,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",46.146,47.386,46.039,"","Yes",""
"1064","DSC_9497",16715,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",53.587,54.734,54.039,"","No",""
"1065","DSC_9497",16718,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",42.049,42.109,42.865,"",NA,""
"1066","DSC_9497",16721,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",45.802,45.209,46.017,"","Yes",""
"1067","DSC_9497",16724,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",48.991,49.12,49.6,"",NA,""
"1068","DSC_9497",16727,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",47.603,47.769,47.115,"",NA,""
"1069","DSC_9497",16730,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",48.845,48.814,48.9,"","No",""
"1070","DSC_9497",16733,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",48.746,48.991,48.215,"","No",""
"1071","DSC_9497",16736,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",42.692,42.091,42.221,"",NA,""
"1072","DSC_9497",16739,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",46.655,46.428,45.233,"","Yes",""
"1073","DSC_9497",16742,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",44.409,44.397,44.61,"","Yes",""
"1074","DSC_9497",16745,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",NA,NA,NA,"Ant gaster not clearly visible",NA,""
"1075","DSC_9497",16748,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",47.627,46.941,47.251,"","Yes",""
"1076","DSC_9497",16751,"11/9/2025","C2F25","11/10/2025","Control","2025","Chinmay",508.2,785.4,"Right","Correct","Yes",48.131,48.434,47.834,"","Yes",""
