"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"82","DSC_8720",9561,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"83","DSC_8720",9564,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"84","DSC_8720",9567,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"85","DSC_8720",9570,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"86","DSC_8720",9573,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"87","DSC_8720",9576,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"88","DSC_8720",9579,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"89","DSC_8720",9582,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"90","DSC_8720",9585,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"91","DSC_8720",9588,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"92","DSC_8720",9591,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na",""
"93","DSC_8720",9594,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",45.509,46.951,46.132,"","no",""
"94","DSC_8720",9597,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",47.253,46.774,46.947,"","no",""
"95","DSC_8720",9600,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",46.333,46.876,47.584,"","yes",""
"96","DSC_8720",9603,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",47.568,47.497,47.942,"","yes",""
"97","DSC_8720",9606,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",47.4,47.134,46.92,"","na",""
"98","DSC_8720",9609,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",45.852,44.491,45.968,"","na",""
"99","DSC_8720",9612,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",48.642,47.659,47.857,"","na",""
